movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
11,11000,01:27,01:34,7.126999999999995,14.126999999999995,6,9,"Ok, so I guess I’ll start by saying that there were two lobby clips, just because I know you record those, and I did remember them."
11,"1, 107",01:34,01:40,14.126999999999995,20.126999999999995,10,13,"So it says, “Let’s all go to the lobby and get some snacks,” and it’s all pink, and there's boxes that are dancing, and so on."
10,10000,01:40,01:43,20.126999999999995,23.126999999999995,14,15,"Ok, so the last clip was the bus stop."
10,182,01:44,01:49,24.126999999999995,29.126999999999995,17,19,"It begins with a guy standing at the bus stop, wearing white headphones and a red t-shirt."
10,182,01:49,01:58,29.126999999999995,38.126999999999995,20,25,"And he has a bag with strawberry ice cream that’s slowly melting, because it’s really hot, and he has sweat stains on his shirt."
10,183,01:58,02:01,38.126999999999995,41.126999999999995,26,27,"Then this car drives in, it’s an SUV."
10,183,02:01,02:05,41.126999999999995,45.126999999999995,28,30,"And a woman pulls up to the curb, and she gets out, leaves her car door open."
10,"183, 184",02:06,02:12,46.126999999999995,52.126999999999995,32,35,And then she walks to the phone booth and makes a call.
10,185,02:12,02:17,52.126999999999995,57.126999999999995,36,38,And I’m pretty sure her car starts to slowly slide down the street while she’s doing that.
10,185,02:17,02:19,57.126999999999995,59.126999999999995,39,39,"In any case, she starts to walk towards the guy."
10,186,02:20,02:22,60.126999999999995,62.126999999999995,41,41,She needs to use his phone.
10,184,02:22,02:27,62.126999999999995,67.127,42,45,"I guess she couldn’t get through on the payphone or something, or she didn’t have money."
10,186,02:27,02:34,67.127,74.127,46,49,"But she walks towards the guy and she asks him if she could use his phone and not to worry, that she's not going to steal it."
10,186,02:35,02:37,75.127,77.127,51,51,So he gives her the phone.
10,187,02:37,02:39,77.127,79.127,52,53,"She gets on the phone, she makes a call."
10,188,02:40,02:45,80.127,85.127,54,57,"Then she starts saying like, “Where is she? I’m gonna call the police. Where are you?”"
10,189,02:47,02:51 ,87.127,91.127,59,61,And then she’s like obviously kind of frantic and upset.
10,189,02:51,02:53,91.127,93.127,62,62,Then she throws the phone down on the ground.
10,190,02:55,03:02,95.127,102.127,64,68,"The guy in the red t-shirt goes and picks it up and says, “Hey, this is a $60 phone, lady. Are you gonna pay me back for it?”"
10,192,03:03,03:06,103.127,106.127,70,71,And then further down the road this car pulls up.
10,195,03:07,03:15,107.127,115.127,72,77,"And this guy comes out who’s wearing like part of a tux but without the jacket, so just the black pants and like suspenders and a white shirt."
10,194,03:16,03:20,116.127,120.127,78,80,"The lady goes to him, and the guy with the red shirt is kinda walking behind her."
10,197,03:20,03:24,120.127,124.127,81,83,"And the lady is saying, “ Where is she? Where is she?”"
10,197,03:25,03:30,125.127,130.127,84,87,"And the guy who came out of the car is like, “Who’s this other guy?”"
10,198,03:31,03:34,131.127,134.127,88,89,"And the lady says, “Just a friend,” and the guy’s like, “What?"
10,198,03:35,03:37,135.127,137.127,91,91,"She's not my friend, she just borrowed my phone."
10,198,03:37,03:39,137.127,139.127,92,93,I wanted to see if I could get some money for it.”
10,197,03:39,03:45,139.127,145.127,94,97,"Anyways, the, the guy who came out of the car and the woman start having this exchange."
10,198,03:45,03:50,145.127,150.127,98,100,"And the guy who came out of the car says to the red-shirted guy, “Do you know who I am?”"
10,199,03:50,03:58,150.127,158.127,101,105,"And then he pauses for a second, and he's like, “Oh, you're the Great Aldino, and you're his assistant, like you guys are on TV.”"
10,200,03:59,04:12,159.127,172.127,107,115,"And then the, the woman kinda goes nuts and she pulls out a gun, and then the magician guy says, “Oh, well I have one too, like is yours loaded?” that kind of thing."
10,204,04:13,04:17,173.127,177.127,116,118,And then eventually the woman goes to the car.
10,205,04:17,04:21,177.127,181.127,119,121,"She opens the trunk to, or she tries to open the trunk to look inside."
10,206,04:21,04:31,181.127,191.127,122,127,"And the man with the red shirt now is with the magician, and the magician tells him to pay attention, and he pulls out this thing to hypnotize him."
10,206,04:31,04:35,191.127,195.127,128,130,It’s this box with like a cross on it with some type of bone thing inside.
10,206,04:37,04:41,197.127,201.127,132,134,And so he starts chanting to hypnotize the guy in the red shirt.
10,207,04:41,04:47,201.127,207.127,135,138,And meanwhile the woman has managed to open the trunk and sees something inside.
10,208,04:47,04:53,207.127,213.127,139,142,And the magician has hypnotized the guy who drops his bag with the ice cream in it which is all melted.
10,"208, 209",04:54,05:01,214.127,221.127,144,147,"It goes all over the ground, and the guy drops on the ground and starts like pawing and twitching as if he’s a dog that’s asleep."
10,"210, 211",05:01,05:10,221.127,230.127,148,153,"And the woman comes around from the car, and the magician is like, “Oh, crap,” because he probably said the wrong words when he was trying to hypnotize the guy."
10,210,05:10,05:13,230.127,233.127,154,155,And so he's like reading over what he should have said.
10,"211, 212",05:14,05:18,234.127,238.127,157,159,"And the woman shoots him, and he shoots the woman, and they both fall to the ground."
10,213,05:18,05:27,238.127,247.127,160,165,"And now the guy with the red shirt is acting like a dog, and licking the ice cream on the ground and starts barking and like sniffing around."
10,"213, 214",05:27,05:33,247.127,253.127,166,169,"And then as he’s barking he starts hearing somebody else bark in return, or like some, somebody, some dog."
10,214,05:33,05:40,253.127,260.127,170,173,"Anyways he starts crawling, and then this girl comes, also a dog now, obviously hypnotized by the magician."
10,215,05:40,05:43,260.127,263.127,174,175,"And they start sniffing each other, as dogs do."
