movie_num,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
1,1000,00:44,00:48,8.064,12.064,6,8,"Okay, so the first movie was called: ""Catch Me If You Can."""
1,"5, 6, 7",00:49,01:07,13.064,31.064,10,21,"And there were three imposters that were coming into the talk show and they were asking them questions concerning um what they did, because they were conman artists, and his name was, all of the three were named like William Frank something."
1,8,01:08,01:14,32.064,38.064,22,25,And for the first one they asked him: oh why did he choose to do that even though he was talented?
1,8,01:14,01:20,38.064,44.064,26,29,And he told them basically that that was the easiest way for him to make the money that he wanted to.
1,9,01:21,01:27,45.064,51.064,31,34,And for the second person - who was Leonardo DiCaprio - they asked him: who caught him?
1,"9, 10",01:28,01:38,52.064,62.064,36,41,"And he said, um, Carl, har- some weird last name like carrot, v, and then it flashed back to the situation he was in the jail."
1,14,01:39,01:51,63.064,75.064,43,50,"Um and I guess in another land, so it was not in the US, and the FBI agent Carl, he came to um, try to bring him back to the US, to US land, and he tried."
1,"18, 19",01:52,02:07,76.064,91.064,52,61,He was really sick so the Carl guy told the officers there to take him to the doctor's office but while they were at the doctor's office the officers didn't want to bring him a nurse.
1,"20, 26",02:08,02:21,92.064,105.064,62,70,While they were talking and washing their hands um the William Frank guy - the conman artist - he tried to escape but he was really sick so they caught him and that's when that one ended.
2,2000,02:22,02:26,106.064,110.064,72,73,"Um and then I think the next one was called ""A Single Life."""
2,"28, 29",02:27,02:36,111.064,120.064,75,80,So it's like a cartoon and then the girl was trying to eat a pizza slice but then she hears the doorbell.
2,31,02:36,02:40,120.064,124.064,81,83,"And then she gets this record, or maybe it was called ""The Record."""
2,"32, 33",02:41,02:47,125.064,131.064,84,87,She gets the record and then she plays it but then she realizes that her pizza's gone.
2,35,02:47,02:56,131.064,140.064,88,93,"And then she realizes that the record actually forwards or rewinds her life, so she plays around with it."
2,"36, 37",02:56,03:10,140.064,154.064,94,103,"And ends up being like an adult, pregnant, and then she goes back and is not pregnant, goes back and is pregnant, and then she forwards and has the kid in her hands - the baby in her hands."
2,"38, 39",03:11,03:19,155.064,163.064,104,109,"And then um she goes backwards accidentally as a little kid and then she goes forward and is like, old."
2,39,03:20,03:28,164.064,172.064,110,115,Um but then she's like old and is on a kind of wheelchair and has like a cast on her leg.
2,39,03:28,03:36,172.064,180.064,116,120,So she can't really touch the record so that she can go backward.
2,39,03:36,03:39,180.064,183.064,121,122,So she keeps going back and forth and gets upset.
2,40,03:40,03:51,184.064,195.064,124,130,"And then she um, and so, forwarding to being like, old, I guess, in a home, and then basically, then I think she tries to go back but she cannot."
2,41,03:52,04:01,196.064,205.064,132,137,"And so it just forwards and it just shows her that she died and shows her in the, just her like remains."
3,3000,04:02,04:09,206.064,213.064,138,142,"And then the, I think the next one - the next movie - was the one, something about robots."
3,3000,04:10,04:12,214.064,216.064,144,144,But I forgot the name of the movie.
3,43,04:12,04:20,216.064,224.064,145,149,But basically it's like a husband and wife together and just like their anniversary.
3,"43, 44",04:20,04:28,224.064,232.064,150,155,"But they don't look very happy, and they're just eating and the wife offers him some wine but he doesn't want to."
3,47,04:29,04:33,233.064,237.064,156,158,"And she gets upset because she says, ""oh, but you're just a computer analyst."""
3,45,04:34,04:38,238.064,242.064,160,161,"And uh, she ends up drinking like most of the wine."
3,"46, 47",04:39,04:47,243.064,251.064,163,167,"And then she gets really upset, but before she gets upset, she's, he kind of says, ""oh, the asparagus is tender."""
3,46,04:47,04:53,251.064,257.064,168,171,"And she tells him, ""oh it's - most people say it's an aphrodisiac."""
3,46,04:53,04:58,257.064,262.064,172,175,"Well she says it's an aphrodisiac and he asks, ""oh who says that?"""
3,46,04:58,05:00,262.064,264.064,176,176,"She says, ""oh, I think most people."""
3,47,05:01,05:05,265.064,269.064,178,179,But then she just sits there and then she gets really upset and throws the wine at him.
3,48,05:06,05:07,270.064,271.064,181,181,And then he just starts smoking.
3,48,05:08,05:11,272.064,275.064,182,183,She gets upset and takes the cigarette and tries to turn it off.
3,48,05:12,05:14,276.064,278.064,185,185,But then he takes another cigarette and starts smoking.
3,49,05:15,05:20,279.064,284.064,187,189,"And so, um, then she said something really mean about him."
3,"50, 51",05:21,05:28,285.064,292.064,191,195,"And then she goes over to him and hugs him but then she goes behind him and turns him, turns him off."
3,51,05:28,05:31,292.064,295.064,196,197,So we find out that he's just like a robot.
3,53,05:32,05:48,296.064,312.064,198,208,"And then, she goes back to her computer while he's like, off, so he's not functioning anymore, and she's looking up another like, to get a new husband, a new robot husband."
3,54,05:49,05:53,313.064,317.064,210,211,"But while she was doing that we see the picture of like, her being married to the other one."
3,54,05:54,06:01,318.064,325.064,213,217,"So then she wants like a sportier, like, like more like, spontaneous robot."
3,54,06:01,06:12,325.064,336.064,218,224,"So she calls and say her current model has malfunctioned, um he has no ambition, um and so they say, ""oh, usually that model is like that."""
3,55,06:13,06:25,337.064,349.064,226,233,"And so then, they ask her which one does she want, and she told them, oh like a masseuse, or rock climber, and then she wants both, with short hair."
3,"57, 58",06:25,06:37,349.064,361.064,234,241,"So then we see the people from the robot company - I think it was like ""premateurs"" or something like that - and they come with a new model, and then they take her old model away."
3,"58, 61",06:37,06:52,361.064,376.064,242,251,"And then she looks like she's a little sad so then she runs to the old model - to her original husband - she runs over to him, kisses him, and then she sits down again with her new model, with her new robot husband."
3,"59, 60",06:53,07:02,377.064,386.064,252,257,Meanwhile she had already taken the ring off of her old husband - robot husband - and placed it on the new one and then turns him on.
3,62,07:03,07:12,387.064,396.064,259,264,"And so they're sitting there, eating, and um she offers him wine and he says, ""no, I have a big rock climb in the morning,"" and then she looks a little sad."
3,63,07:13,07:21,397.064,405.064,266,270,But then he says that the asparagus is tender and that people say that it's an aphrodisiac.
3,63,07:21,07:24,405.064,408.064,271,272,So she gets happy because that's something she said before.
3,"64, 65",07:25,07:28,409.064,412.064,274,275,Um and then he goes over and gives her a massage.
3,"65, 66",07:29,07:34,413.064,418.064,276,279,"And then she's very happy, but then he ends up turning her off, so then we find out that she was a robot, too."
3,67,07:35,07:42,419.064,426.064,280,284,So then he leaves her there and goes over and sits down on the couch with a cigarette and starts watching like sports.
3,3000,07:43,07:45,427.064,429.064,286,286,And I think that's when that one ended.
-1,-1,07:46,07:55,430.064,439.064,288,293,"Um, and then I think the next one was - one second, I'm thinking."
5,5000,07:56,08:01,440.064,445.064,294,297,"I think this was the one with uh, the stick figures - not sure."
5,5000,08:01,08:07,445.064,451.064,298,301,"But there was one about Keith Reynolds, I think that's what it was called."
5,"82, 85",08:08,08:21,452.064,465.064,302,310,"And um, so basically, it's like stick figures, and he's like driving his car to his job and - you see all the levels of the company at the same time, he like walks in."
5,86,08:22,08:25,466.064,469.064,312,313,He's very excited because he thinks he's going to get a promotion.
5,86,08:26,08:33,470.064,477.064,314,318,"He walks upstairs um, to where his dream girl, his crush is."
5,"87, 89, 90",08:34,08:44,478.064,488.064,320,325,"And he always offers her coffee, but she never wants it, uh and then he goes up, to actually talk to his boss, but there's somebody else there."
